stats,district,type,2012_1,2012_2,2012_3,2012_4,2012_5,2012_6,2012_7,2012_8,2012_9,2012_10,2012_11,2012_12,2013_1,2013_2,2013_3,2013_4,2013_5,2013_6,2013_7,2013_8,2013_9,2013_10,2013_11,2013_12,2014_1,2014_2,2014_3,2014_4,2014_5,2014_6,2014_7,2014_8,2014_9,2014_10,2014_11,2014_12,2015_1,2015_2,2015_3,2015_4,2015_5,2015_6,2015_7,2015_8,2015_9,2015_10,2015_11,2015_12,1mth_avg,2mth_avg,3mth_avg,4mth_avg,5mth_avg,6mth_avg,7mth_avg,8mth_avg,9mth_avg,10mth_avg,11mth_avg,12mth_avg
min,sd,overall_death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
max,sd,overall_death,85,61,55,54,60,42,39,13,31,85,59,75,107,63,67,68,111,93,55,66,54,55,82,119,62,49,38,42,39,25,26,19,21,26,34,29,56,78,18,27,43,38,19,33,22,48,21,21,66,53,31,36,51,39,23,25,25,30,38,47
min,sgg,overall_death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
max,sgg,overall_death,16,17,15,15,17,9,10,5,11,16,16,17,22,16,21,14,19,15,9,13,9,10,14,20,19,12,8,10,11,6,6,3,5,6,8,6,15,19,6,5,15,12,5,7,5,9,7,7,18,16,12,9,14,10,7,6,7,8,10,11
min,sd,pm2_5,6.80,4.89,7.83,6.98,8.62,3.47,3.83,1.74,5.18,6.80,5.60,4.34,20.92,19.52,26.72,22.21,33.13,21.47,16.20,19.48,16.26,15.47,20.64,20.22,14.17,14.70,12.25,13.20,17.07,14.28,10.83,10.19,11.80,11.43,11.71,7.88,17.93,23.70,11.22,14.10,20.71,17.65,11.18,13.71,13.05,20.31,12.03,12.53,18.62,19.50,17.05,15.34,22.67,16.98,12.34,12.62,13.38,15.33,14.86,13.02
max,sd,pm2_5,49.64,46.74,44.90,44.26,47.57,31.57,40.29,20.71,30.77,49.64,44.25,52.45,59.60,44.68,51.63,44.87,50.70,43.19,34.52,40.25,31.62,30.21,39.85,52.74,47.36,40.29,31.86,35.35,38.37,25.47,24.41,18.07,23.25,25.91,32.05,27.32,42.17,49.55,25.71,21.81,43.29,34.61,25.65,25.16,22.39,35.06,27.38,27.39,48.39,42.56,35.12,34.82,42.29,33.17,30.92,24.84,25.22,28.60,33.27,35.03
min,sgg,pm2_5,6.31,4.83,7.65,6.98,8.27,3.23,3.59,1.55,5.10,6.31,5.46,4.17,20.38,18.67,22.56,17.41,24.74,19.56,15.12,13.68,13.71,14.03,12.16,16.20,9.51,8.68,6.90,9.09,7.98,7.17,7.88,7.79,6.85,9.29,8.42,4.58,17.61,22.78,9.77,10.89,16.49,11.93,7.85,10.36,9.47,14.80,9.80,11.27,14.84,15.81,15.84,13.97,19.34,13.90,10.28,10.44,11.85,13.61,12.13,12.00
max,sgg,pm2_5,69.59,49.38,49.97,52.09,57.48,43.19,44.62,25.58,38.30,69.59,52.76,59.84,69.23,53.59,59.09,54.97,62.85,59.30,38.10,42.70,38.27,36.61,46.53,66.96,52.69,53.77,40.13,43.13,45.07,34.16,27.52,25.82,31.81,34.82,36.29,31.32,47.19,54.97,28.96,26.38,46.70,38.33,27.59,30.43,27.39,45.59,32.86,32.00,53.33,49.35,39.64,42.04,46.47,37.83,32.47,28.08,31.44,34.80,37.38,41.38
