SD_NM,SGG_NM,SGG_CD,NO2__RR,NO2__ad,PM2_5__RR,PM2_5__ad,PM10__RR,PM10__ad
인천광역시,옹진군,23320,1.001,0,1.01,8,1.003,3
광주광역시,동구,24010,1.028,58,1.018,68,1.013,60
광주광역시,서구,24020,1.034,140,1.019,135,1.015,126
광주광역시,남구,24030,1.032,128,1.019,121,1.014,112
광주광역시,북구,24040,1.036,186,1.018,215,1.014,196
광주광역시,광산구,24050,1.035,135,1.019,163,1.015,155
대전광역시,동구,25010,1.014,72,1.014,119,1.009,90
대전광역시,중구,25020,1.011,61,1.013,113,1.009,85
대전광역시,서구,25030,1.01,69,1.012,121,1.007,79
대전광역시,유성구,25040,1.014,44,1.012,69,1.007,49
대전광역시,대덕구,25050,1.012,38,1.012,73,1.007,50
울산광역시,중구,26010,1.003,13,1.012,83,1.007,55
울산광역시,남구,26020,1.005,26,1.013,104,1.008,74
울산광역시,동구,26030,1.015,41,1.014,62,1.01,50
울산광역시,북구,26040,1.017,39,1.014,59,1.009,46
울산광역시,울주군,26310,1.007,30,1.013,92,1.008,63
세종특별자치시,세종특별자치시,29010,1.019,48,1.013,69,1.008,51
강원도,춘천시,32010,0.997,0,1.008,84,1.002,31
강원도,원주시,32020,1.007,38,1.011,136,1.005,81
강원도,강릉시,32030,1.001,4,1.009,63,1.004,31
강원도,동해시,32040,1.012,24,1.011,39,1.006,29
강원도,태백시,32050,1.013,6,1.012,16,1.007,11
강원도,속초시,32060,1.002,1,1.009,21,1.004,10
강원도,삼척시,32070,1.01,11,1.012,30,1.007,21
강원도,홍천군,32310,1.005,6,1.009,32,1.004,16
강원도,횡성군,32320,1.003,3,1.009,26,1.004,13
강원도,영월군,32330,1.008,9,1.011,26,1.006,17
강원도,평창군,32340,1.003,2,1.01,15,1.004,8
강원도,정선군,32350,1.009,5,1.011,16,1.006,10
강원도,철원군,32360,0.996,0,1.007,14,1.001,2
강원도,화천군,32370,0.997,0,1.007,7,1.001,2
강원도,양구군,32380,0.999,0,1.008,8,1.002,3
강원도,인제군,32390,1.002,1,1.009,11,1.004,5
강원도,고성군,32400,1.001,0,1.009,11,1.003,5
강원도,양양군,32410,0.999,0,1.009,9,1.003,4
충청북도,청주시 상당구,33011,1.011,48,1.013,110,1.008,80
충청북도,청주시 흥덕구,33012,1.005,34,1.012,135,1.007,99
충청북도,충주시,33020,1.01,50,1.011,127,1.006,78
충청북도,제천시,33030,1.011,34,1.012,82,1.007,56
충청북도,청원군,33310,1.013,48,1.013,95,1.008,69
충청북도,보은군,33320,1.016,18,1.013,38,1.008,28
충청북도,옥천군,33330,1.021,34,1.014,49,1.009,37
충청북도,영동군,33340,1.023,30,1.014,48,1.01,37
충청북도,진천군,33350,1.012,18,1.012,41,1.006,27
충청북도,괴산군,33360,1.012,13,1.012,39,1.007,27
충청북도,음성군,33370,1.012,28,1.012,69,1.006,43
충청북도,단양군,33380,1.01,9,1.012,26,1.007,17
