SD_NM,SGG_NM,SGG_CD,sigungu_n in r,PM10,PM2_5,NO2
전라남도,장성군,36450,200,43.10878065,37.04133557,12.34818941
전라남도,완도군,36460,201,27.17426497,18.13496936,4.272176218
전라남도,진도군,36470,202,25.44839236,17.12958203,4.11436457
전라남도,신안군,36480,203,27.86146401,17.86011414,5.21075851
경상북도,포항시 남구,37011,204,43.58490723,35.77550112,17.35070683
경상북도,포항시 북구,37012,205,35.58147806,30.87434918,8.276988528
경상북도,경주시,37020,206,42.00819975,36.59786449,16.14532386
경상북도,김천시,37030,207,42.6407155,37.93984588,12.40004489
경상북도,안동시,37040,208,38.11632614,33.88820867,11.66505249
경상북도,구미시,37050,209,36.46880613,32.06508238,11.44480279
경상북도,영주시,37060,210,43.8680607,38.55687988,12.49551259
경상북도,영천시,37070,211,41.61102738,37.04153783,12.03918088
경상북도,상주시,37080,212,39.16877232,34.76779249,10.71314832
경상북도,문경시,37090,213,37.99586998,33.16804358,10.21472127
경상북도,경산시,37100,214,42.63790699,37.41140914,20.73510946
경상북도,군위군,37310,215,44.50790904,39.92011684,12.0935725
경상북도,의성군,37320,216,40.95012775,36.54990805,9.930520029
경상북도,청송군,37330,217,32.76961618,28.9856485,6.791544293
경상북도,영양군,37340,218,29.86042052,26.37857492,7.529706018
경상북도,영덕군,37350,219,29.84991861,25.44755819,5.294571306
경상북도,청도군,37360,220,38.59993996,33.87007251,17.48498544
경상북도,고령군,37370,221,38.81119516,34.78110005,14.76099363
경상북도,성주군,37380,222,43.39184091,38.56348019,14.47694943
경상북도,칠곡군,37390,223,49.03696017,41.15121767,19.18571084
경상북도,예천군,37400,224,40.96788241,36.28143407,10.92554889
경상북도,봉화군,37410,225,34.30535498,30.22370215,9.272432282
경상북도,울진군,37420,226,26.51554445,22.52834845,6.414120793
경상북도,울릉군,37430,227,15.22931352,7.708982966,0.508889193
경상남도,진주시,38030,228,41.35648785,36.43038425,15.7348555
경상남도,통영시,38050,229,36.41016274,27.43277967,9.300434135
경상남도,사천시,38060,230,41.76015032,34.86694447,15.59716095
경상남도,김해시,38070,231,43.85743329,37.9677849,17.39260737
경상남도,밀양시,38080,232,40.45872634,35.8782666,13.54660201
경상남도,거제시,38090,233,37.50340833,28.19212743,11.08457979
경상남도,양산시,38100,234,40.57888259,35.20937935,17.28535495
경상남도,창원시 의창구,38111,235,42.93418259,37.19181157,15.71269669
경상남도,창원시 성산구,38112,236,42.93418259,37.19181157,15.71269669
경상남도,창원시 마산합포구,38113,237,41.22078814,34.75396839,15.82728453
경상남도,창원시 마산회원구,38114,238,41.22078814,34.75396839,15.82728453
경상남도,창원시 진해구,38115,239,43.84261578,35.99999009,18.34478734
경상남도,의령군,38310,240,39.89325446,35.91192578,12.70284473
경상남도,함안군,38320,241,41.66622426,36.78319024,13.98480486
경상남도,창녕군,38330,242,39.06278431,34.80075499,13.31861499
경상남도,고성군,38340,243,37.85100874,31.75627593,13.72124522
경상남도,남해군,38350,244,34.94304122,26.99731416,14.43630597
경상남도,하동군,38360,245,36.38449676,31.69881967,10.75933387
경상남도,산청군,38370,246,35.24831526,31.70340213,9.45402519
경상남도,함양군,38380,247,33.93898504,30.52067685,7.660125004
경상남도,거창군,38390,248,33.58222769,30.15302758,7.354117219
경상남도,합천군,38400,249,37.18556062,33.57974635,9.930018674
제주특별자치도,제주시,39010,250,18.62510808,13.37231895,4.032448236
제주특별자치도,서귀포시,39020,251,18.08178486,13.3007452,3.852801347
